type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/OBJECTID,properties/ID,properties/INDEX_PARC,properties/NOM,properties/ARROND,properties/TYPE
Feature,Point,-73.5676388467,45.450749991,927,004-0253,2894-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
Feature,Point,-73.6103132444,45.5382243278,928,004-0102,1186-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
Feature,Point,-73.5075694781,45.650799605,929,004-0375,0695-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.6212221466,45.4332335742,930,021-0031,2466-000,Bocce,LaSalle,Loisirs et détente
Feature,Point,-73.6620617754,45.4297051677,931,073-0066,2476-000,Soccer à 11,LaSalle,Sportif
Feature,Point,-73.5742762548,45.5680762954,932,052-0045,0209-000,Patinoire avec bandes,Rosemont-La Petite-Patrie,Récréatif
Feature,Point,-73.570857974,45.5281836814,933,050-0011,0061-000,Pataugeoire,Le Plateau-Mont-Royal,Récréatif
Feature,Point,-73.5948127115,45.6102306643,934,071-0062, ,Sentier pédestre,Anjou,Plein air
Feature,Point,-73.6315485833,45.5350416722,935,073-0033,0401-000,Soccer à 11,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.549349095,45.5488556127,936,012-0034,0188-000,Aire d'entraînement pour adultes,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
Feature,Point,-73.5861653885,45.4523943755,937,075-0058,0875-000,Soccer à 4-5,Le Sud-Ouest,Sportif
Feature,Point,-73.5596794787,45.5233178445,938,054-0019,0596-018,Ping-pong,Ville-Marie,Loisirs et détente
Feature,Point,-73.4943105858,45.6490966557,939,003-0393,0718-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.6092761802,45.5773110983,940,076-0040,0937-000,Soccer à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.6145278454,45.567556601,941,010-0010,0941-000,Aire de planche à roulette,Villeray-Saint-Michel-Parc-Extension,Récréatif
Feature,Point,-73.6003339437,45.5176784437,942,004-0155, ,Aire de jeu  5 à 12 ans,Outremont,Aire de jeu - enfant
Feature,Point,-73.6878668071,45.5268343535,943,034-0003,2818-000,Football,Saint-Laurent,Sportif
Feature,Point,-73.6913763778,45.5181204977,944,042-0007,2807-000,Jeux d'eau,Saint-Laurent,Récréatif
Feature,Point,-73.628929629,45.6053695931,945,018-0122,2562-000,Basketball,Montréal-Nord,Récréatif
Feature,Point,-73.6422672371,45.5304275151,946,004-0151,1147-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.5443088603,45.5967387354,947,076-0127, ,Soccer à 7,Mercier-Hochelaga-Maisonneuve,Sportif
Feature,Point,-73.6231955871,45.5997323962,948,004-0380,2551-000,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
Feature,Point,-73.5913189467,45.5532182479,949,003-0113,0202-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
Feature,Point,-73.5496259379,45.6157901638,950,081-0093,2012-000,Tennis,Anjou,Sportif
Feature,Point,-73.7001887792,45.5278609469,951,004-0077,1103-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
Feature,Point,-73.598643956,45.5966925054,952,081-0096,2853-000,Tennis,Saint-Léonard,Sportif
Feature,Point,-73.5549682988,45.5780410751,953,011-0003,0094-000,Aire de tir à l'arc,Mercier-Hochelaga-Maisonneuve,Sportif
Feature,Point,-73.5692192393,45.4711672196,954,004-0272,2912-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
Feature,Point,-73.5557987162,45.4804144707,955,003-0359,0797-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
Feature,Point,-73.647818261,45.5396976285,956,018-0025,0011-000,Basketball,Ahuntsic-Cartierville,Récréatif
Feature,Point,-73.6335123015,45.5028401998,957,052-0076,0146-000,Patinoire avec bandes,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
Feature,Point,-73.5869890626,45.5174905171,958,081-0010,0224-000,Tennis,Le Plateau-Mont-Royal,Sportif
Feature,Point,-73.6532130578,45.4339486709,959,018-0097,2464-000,Basketball,LaSalle,Récréatif
Feature,Point,-73.5967133926,45.4342114399,960,004-0295,2460-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
Feature,Point,-73.6015371954,45.5457404841,961,076-0030,0127-000,Soccer à 7,Rosemont-La Petite-Patrie,Sportif
Feature,Point,-73.5712822095,45.5252489551,962,082-0001,0061-000,Théâtre extérieur,Le Plateau-Mont-Royal,Loisirs et détente
Feature,Point,-73.5768637947,45.5225233989,963,095-0006,0594-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
Feature,Point,-73.5353758109,45.6140895377,964,018-0125,1267-000,Basketball,Mercier-Hochelaga-Maisonneuve,Récréatif
Feature,Point,-73.575544526,45.6359464198,965,003-0411,0971-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.5640274127,45.4789810739,966,095-0058,0260-002,Pétanque,Le Sud-Ouest,Loisirs et détente
Feature,Point,-73.8382179372,45.4975039232,967,081-0037,2653-000,Tennis,Pierrefonds-Roxboro,Sportif
Feature,Point,-73.5235569089,45.5078447686,968,019-0001,0391-000,Bassin olympique,Ville-Marie,Sportif
Feature,Point,-73.5927172569,45.4531523855,969,012-0049,0356-000,Aire d'entraînement pour adultes,Le Sud-Ouest,Loisirs et détente
Feature,Point,-73.615388975,45.6104243568,970,018-0120,2556-000,Basketball,Montréal-Nord,Récréatif
Feature,Point,-73.6030034487,45.5510598775,971,004-0135,0198-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.6240524484,45.5245167766,972,003-0144,0302-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.6160801982,45.6104931384,973,050-0070,2556-000,Pataugeoire,Montréal-Nord,Récréatif
Feature,Point,-73.6212576943,45.5999657145,974,016-0128,2551-000,Balle,Montréal-Nord,Sportif
Feature,Point,-73.6090988063,45.5331085443,975,004-0103,0291-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
Feature,Point,-73.6335452843,45.5304555986,976,005-0004,0295-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.6151026387,45.4725381447,977,042-0069,0170-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
Feature,Point,-73.7147918044,45.4464355374,978,075-0018,2430-006,Soccer à 4-5,Lachine,Sportif
Feature,Point,-73.4921088608,45.6679553298,979,052-0103,0704-000,Patinoire avec bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.6897003795,45.5206126741,980,004-0007,2798-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
Feature,Point,-73.8510158801,45.5013319819,981,071-0037,2681-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
Feature,Point,-73.5564098951,45.5262513057,982,042-0047,1269-000,Jeux d'eau,Ville-Marie,Récréatif
Feature,Point,-73.7284120122,45.5174296373,983,055-0006,2813-000,Piscine extérieure,Saint-Laurent,Récréatif
Feature,Point,-73.8993474782,45.5162479766,984,056-0013,9502-000,Piste cyclable,L'Île-Bizard-Sainte-Geneviève,Plein air
Feature,Point,-73.6408042717,45.4193987497,985,073-0065,2442-000,Soccer à 11,LaSalle,Sportif
Feature,Point,-73.6334578877,45.533767037,986,016-0061,0401-000,Balle,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.5826607661,45.6040216799,987,052-0125,2010-000,Patinoire avec bandes,Anjou,Récréatif
Feature,Point,-73.6849231068,45.4415868108,988,004-0098,2423-000,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
Feature,Point,-73.670314902,45.5136612649,989,073-0008, ,Soccer à 11,Saint-Laurent,Sportif
Feature,Point,-73.6530128314,45.4337370983,990,081-0067,2464-000,Tennis,LaSalle,Sportif
Feature,Point,-73.5636802442,45.4553798372,991,003-0314,2914-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
Feature,Point,-73.5807555866,45.5455686721,992,076-0033,0196-000,Soccer à 7,Rosemont-La Petite-Patrie,Sportif
Feature,Point,-73.6773120458,45.5135158677,993,055-0008,2799-000,Piscine extérieure,Saint-Laurent,Récréatif
Feature,Point,-73.5836413758,45.6051590754,994,021-0051,2010-000,Bocce,Anjou,Loisirs et détente
Feature,Point,-73.6211858937,45.4324451767,995,055-0050,2466-000,Piscine extérieure,LaSalle,Récréatif
Feature,Point,-73.6770304746,45.4394532213,996,032-0021,2398-000,Fer / Galet,Lachine,Loisirs et détente
Feature,Point,-73.6294774634,45.5994687714,997,009-0045,2567-000,Aire de pique-nique,Montréal-Nord,Plein air
Feature,Point,-73.6555629642,45.5715131594,998,053-0012,0023-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
Feature,Point,-73.5685268987,45.5515775929,999,062-0003,0219-000,Plancher de danse,Rosemont-La Petite-Patrie,Loisirs et détente
Feature,Point,-73.5557871542,45.6619656896,1000,004-0337,0926-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.5903958862,45.449948089,1001,018-0100,0342-000,Basketball,Le Sud-Ouest,Récréatif
Feature,Point,-73.6143095378,45.5923274112,1002,004-0442,2869-000,Aire de jeu  5 à 12 ans,Saint-Léonard,Aire de jeu - enfant
Feature,Point,-73.490518235,45.6465133434,1003,075-0093,1648-286,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
Feature,Point,-73.6198927514,45.5482383335,1004,004-0461,0238-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.5181937532,45.6068885638,1005,004-0426,0115-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
Feature,Point,-73.5902186859,45.5534543463,1006,052-0040,0202-000,Patinoire avec bandes,Rosemont-La Petite-Patrie,Récréatif
Feature,Point,-73.5594043507,45.489900917,1007,089-0047,1840-000,Volleyball de plage,Le Sud-Ouest,Récréatif
Feature,Point,-73.6065406124,45.5387168632,1008,004-0124,0243-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
Feature,Point,-73.5316764096,45.5129684452,1009,056-0008,0391-000,Piste cyclable,Ville-Marie,Plein air
Feature,Point,-73.5663594979,45.5436008816,1010,042-0034,1173-000,Jeux d'eau,Rosemont-La Petite-Patrie,Récréatif
Feature,Point,-73.8835889956,45.4869061179,1011,010-0015,2348-000,Aire de planche à roulette,L'Île-Bizard-Sainte-Geneviève,Récréatif
Feature,Point,-73.6892308824,45.5389158256,1012,004-0073,0010-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
Feature,Point,-73.6217128597,45.4335442246,1013,004-0302,2466-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
Feature,Point,-73.806815809,45.5126932071,1014,003-0220,2667-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
Feature,Point,-73.6627689512,45.556805925,1015,095-0011,0018-000,Pétanque,Ahuntsic-Cartierville,Loisirs et détente
Feature,Point,-73.6950347465,45.520145558,1016,095-0004,2816-000,Pétanque,Saint-Laurent,Loisirs et détente
Feature,Point,-73.8660837826,45.4982750007,1017,003-0259,2369-000,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
Feature,Point,-73.5640254501,45.5901265109,1018,012-0033,0482-000,Aire d'entraînement pour adultes,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
Feature,Point,-73.6192449703,45.4965796942,1019,012-0019,0509-000,Aire d'entraînement pour adultes,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
Feature,Point,-73.5275373127,45.5709807339,1020,004-0405,0099-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
Feature,Point,-73.853040939,45.4987916524,1021,072-0020,2662-000,Anneau / Rond de glace,Pierrefonds-Roxboro,Loisirs et détente
Feature,Point,-73.5847329355,45.6502528493,1022,001-0014,0986-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
Feature,Point,-73.57982523,45.5058466251,1023,073-0038,0270-000,Soccer à 11,Ville-Marie,Sportif
Feature,Point,-73.6993933093,45.5416513654,1024,053-0009,0007-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
Feature,Point,-73.6016526489,45.4428425316,1025,031-0014,0341-000,Étang / lac,Le Sud-Ouest,Plein air
Feature,Point,-73.6324268446,45.5343545885,1026,073-0031,0401-000,Soccer à 11,Villeray-Saint-Michel-Parc-Extension,Sportif
Feature,Point,-73.6900200137,45.5213354372,1027,009-0002,2798-000,Aire de pique-nique,Saint-Laurent,Plein air
Feature,Point,-73.6347869438,45.5524569832,1028,016-0018,0424-000,Balle,Ahuntsic-Cartierville,Sportif
Feature,Point,-73.7014644076,45.4421883413,1029,075-0013,2391-000,Soccer à 4-5,Lachine,Sportif
Feature,Point,-73.5385755013,45.57598887,1030,016-0137,0097-000,Balle,Mercier-Hochelaga-Maisonneuve,Sportif
Feature,Point,-73.6409965551,45.4190554045,1031,058-0012,2442-000,Piste d'athlétisme (400m) et équipements,LaSalle,Sportif
Feature,Point,-73.6265683574,45.4193664167,1032,081-0063,2451-000,Tennis,LaSalle,Sportif
Feature,Point,-73.5761434293,45.4432960253,1033,055-0042,2907-000,Piscine extérieure,Verdun,Récréatif
Feature,Point,-73.5265416937,45.6059142572,1034,004-0419,0110-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
Feature,Point,-73.584294713,45.6388711387,1035,021-0041,0973-000,Bocce,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5921225011,45.4581353536,1036,003-0352,0348-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
Feature,Point,-73.5513681152,45.5295171909,1037,003-0196,0384-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
Feature,Point,-73.5940200853,45.5160186594,1038,004-0154, ,Aire de jeu  5 à 12 ans,Outremont,Aire de jeu - enfant
Feature,Point,-73.6646100028,45.5407328619,1039,013-0011,0012-000,Aire d'exercice canin,Ahuntsic-Cartierville,Loisirs et détente
Feature,Point,-73.5967629154,45.5880679816,1040,005-0039,2874-000,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
Feature,Point,-73.6045616085,45.62838935,1041,021-0038,0983-000,Bocce,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
Feature,Point,-73.5283294228,45.5961124538,1042,095-0079,0105-000,Pétanque,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
Feature,Point,-73.8833802087,45.4866233836,1043,075-0044,2348-000,Soccer à 4-5,L'Île-Bizard-Sainte-Geneviève,Sportif
Feature,Point,-73.5746631388,45.4656707702,1044,003-0306,2903-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
Feature,Point,-73.6500649422,45.4460140313,1045,010-0005,2397-000,Aire de planche à roulette,Lachine,Récréatif
Feature,Point,-73.6296116753,45.5370168933,1046,004-0138,0401-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
Feature,Point,-73.6137264717,45.4245425525,1047,003-0346,2467-000,Aire de jeu 18 mois à 5 ans,LaSalle,Aire de jeu - enfant
Feature,Point,-73.5685383279,45.5271733293,1048,089-0013,0061-000,Volleyball de plage,Le Plateau-Mont-Royal,Récréatif
Feature,Point,-73.65658115,45.4305895458,1049,076-0089,2465-000,Soccer à 7,LaSalle,Sportif
Feature,Point,-73.5629801857,45.5807147531,1050,002-0030,0494-000,Aire de glissade,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
Feature,Point,-73.5675135027,45.6492714203,1051,053-0075,0974-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.5014523774,45.6672125584,1052,003-0401,0700-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.6103863838,45.4212441172,1053,074-0022,2469-000,Soccer / Football,LaSalle,Sportif
Feature,Point,-73.5754019638,45.4838206582,1054,050-0061,0376-000,Pataugeoire,Le Sud-Ouest,Récréatif
Feature,Point,-73.5685778055,45.6496326778,1055,003-0408,0974-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.691179092,45.5173181052,1056,050-0008,2807-000,Pataugeoire,Saint-Laurent,Récréatif
Feature,Point,-73.6294507558,45.6195685278,1057,004-0377, ,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
Feature,Point,-73.5960935903,45.5400782236,1058,095-0034,0126-000,Pétanque,Rosemont-La Petite-Patrie,Loisirs et détente
Feature,Point,-73.6272954686,45.510038158,1059,003-0285,0140-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
Feature,Point,-73.4996796463,45.6411294412,1060,050-0066,0679-000,Pataugeoire,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
Feature,Point,-73.5761127651,45.5373934065,1061,004-0045, ,Aire de jeu  5 à 12 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
